date,salinity,precip_in
2023-11-02,16.0031914893617,0.0
2023-11-03,14.598947368421054,0.0
2023-11-04,14.645833333333334,0.0
2023-11-05,15.560416666666667,0.0
2023-11-06,15.597916666666668,0.0
2023-11-07,15.857291666666667,0.06
2023-11-08,14.63695652173913,0.0
2023-11-09,16.553684210526313,0.0
2023-11-10,17.147916666666667,0.0
2023-11-11,18.364583333333332,0.0
2023-11-12,19.14468085106383,0.0
2023-11-13,20.5,0.0
2023-11-14,20.591489361702127,0.0
2023-11-15,20.648958333333333,0.0
2023-11-16,20.919791666666665,0.0
2023-11-17,20.308333333333334,0.0
2023-11-18,20.67717391304348,0.0
2023-11-19,19.689583333333335,0.0
2023-11-20,18.741666666666667,0.0
2023-11-21,19.913684210526316,0.59
2023-11-22,21.951063829787234,1.93
2023-11-23,18.441666666666666,0.0
2023-11-24,19.603125000000002,0.0
2023-11-25,18.881720430107528,0.0
2023-11-26,20.537499999999998,0.28
2023-11-27,21.339583333333334,0.08
2023-11-28,17.48125,0.0
2023-11-29,14.376041666666666,0.0
2023-11-30,16.711458333333333,0.0
2023-12-01,16.427083333333332,0.41
2023-12-02,15.989583333333334,0.0
2023-12-03,16.361052631578946,0.55
2023-12-04,15.086170212765957,0.0
2023-12-05,12.651063829787235,0.0
2023-12-06,13.692553191489361,0.0
2023-12-07,13.701041666666667,0.0
2023-12-08,13.842105263157896,0.0
2023-12-09,14.273684210526316,0.0
2023-12-10,16.574468085106382,1.12
2023-12-11,16.624468085106383,0.55
2023-12-12,13.186315789473685,0.0
2023-12-13,13.022105263157894,0.0
2023-12-14,9.1,0.0
2023-12-15,14.032291666666666,0.0
2023-12-16,13.933333333333332,0.0
2023-12-17,16.352083333333333,0.26
2023-12-18,18.093684210526316,2.21
2023-12-19,5.450526315789473,0.0
2023-12-20,2.4357894736842107,0.0
2023-12-21,4.476041666666666,0.0
2023-12-22,6.8442105263157895,0.0
2023-12-23,7.807291666666667,0.0
2023-12-24,9.527368421052632,0.02
2023-12-25,11.13125,0.0
2023-12-26,12.676842105263157,0.0
2023-12-27,13.025,0.32
2023-12-28,14.159550561797753,1.22
