date_utc,salinity
2019-10-14 00:00:00+00:00,10.108421052631579
2019-10-15 00:00:00+00:00,11.17263157894737
2019-10-16 00:00:00+00:00,10.020833333333334
2019-10-17 00:00:00+00:00,8.771739130434783
2019-10-18 00:00:00+00:00,6.563541666666667
2019-10-19 00:00:00+00:00,7.129166666666666
2019-10-20 00:00:00+00:00,7.155421686746988
2019-10-21 00:00:00+00:00,7.944680851063829
2019-10-22 00:00:00+00:00,7.590000000000001
2019-10-23 00:00:00+00:00,
2019-10-24 00:00:00+00:00,19.12
2019-10-25 00:00:00+00:00,18.120833333333334
2019-10-26 00:00:00+00:00,19.09375
2019-10-27 00:00:00+00:00,20.90421052631579
2019-10-28 00:00:00+00:00,18.82
2019-10-29 00:00:00+00:00,19.219791666666666
2019-10-30 00:00:00+00:00,17.327272727272724
2019-10-31 00:00:00+00:00,
2019-11-01 00:00:00+00:00,10.458823529411765
2019-11-02 00:00:00+00:00,8.013043478260869
2019-11-03 00:00:00+00:00,6.022222222222222
2019-11-04 00:00:00+00:00,5.9711864406779664
2019-11-05 00:00:00+00:00,5.1194444444444445
2019-11-06 00:00:00+00:00,7.451428571428572
2019-11-07 00:00:00+00:00,7.5162162162162165
2019-11-08 00:00:00+00:00,9.299999999999999
2019-11-09 00:00:00+00:00,13.451612903225806
2019-11-10 00:00:00+00:00,16.81714285714286
2019-11-11 00:00:00+00:00,17.142424242424244
2019-11-12 00:00:00+00:00,18.933333333333334
2019-11-13 00:00:00+00:00,16.212903225806453
2019-11-14 00:00:00+00:00,18.79767441860465
2019-11-15 00:00:00+00:00,20.006666666666668
2019-11-16 00:00:00+00:00,19.206976744186047
2019-11-17 00:00:00+00:00,19.835897435897436
2019-11-18 00:00:00+00:00,
2019-11-19 00:00:00+00:00,
2019-11-20 00:00:00+00:00,
2019-11-21 00:00:00+00:00,18.248148148148147
2019-11-22 00:00:00+00:00,
2019-11-23 00:00:00+00:00,15.922222222222224
2019-11-24 00:00:00+00:00,
2019-11-25 00:00:00+00:00,14.968181818181819
2019-11-26 00:00:00+00:00,16.179310344827584
2019-11-27 00:00:00+00:00,17.21
2019-11-28 00:00:00+00:00,
2019-11-29 00:00:00+00:00,17.554166666666667
2019-11-30 00:00:00+00:00,15.36969696969697
2019-12-01 00:00:00+00:00,11.166666666666666
2019-12-02 00:00:00+00:00,
2019-12-03 00:00:00+00:00,14.566666666666668
2019-12-04 00:00:00+00:00,
2019-12-05 00:00:00+00:00,
2019-12-06 00:00:00+00:00,
2019-12-07 00:00:00+00:00,15.415999999999999
2019-12-08 00:00:00+00:00,16.3
2019-12-09 00:00:00+00:00,
